@id,sample.samplingPoint,sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,determinand.label,determinand.definition,determinand.notation,resultQualifier.notation,result,codedResultInterpretation.interpretation,determinand.unit.label,sample.sampledMaterialType.label,sample.isComplianceSample,sample.purpose.label,sample.samplingPoint.easting,sample.samplingPoint.northing
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028556-7668,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04959,AN-04959,DUNCOTE HALL DUNCOTE TOWCESTER,2023-01-19T11:25:00,NO FLOW/SAMP,No flow /No sample,7668,"",0,"",coded,FINAL SEWAGE EFFLUENT,true,COMPLIANCE AUDIT (PERMIT),467550,250870
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028530-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M02,AN-04M02,R.TOVE ABTHORPE RD.BR.,2023-01-19T10:16:00,Ammonia(N),Ammoniacal Nitrogen as N,0111,"",0.053,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),465221,246994
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028530-0118,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M02,AN-04M02,R.TOVE ABTHORPE RD.BR.,2023-01-19T10:16:00,Nitrite-N,Nitrite as N,0118,"",0.024,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),465221,246994
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028530-0076,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M02,AN-04M02,R.TOVE ABTHORPE RD.BR.,2023-01-19T10:16:00,Temp Water,Temperature of Water,0076,"",3.5,"",cel,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),465221,246994
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028530-0180,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M02,AN-04M02,R.TOVE ABTHORPE RD.BR.,2023-01-19T10:16:00,Orthophospht,"Orthophosphate, reactive as P",0180,"",0.079,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),465221,246994
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028530-9901,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M02,AN-04M02,R.TOVE ABTHORPE RD.BR.,2023-01-19T10:16:00,O Diss %sat,"Oxygen, Dissolved, % Saturation",9901,"",90.2,"",%,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),465221,246994
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028530-0077,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M02,AN-04M02,R.TOVE ABTHORPE RD.BR.,2023-01-19T10:16:00,Cond @ 25C,Conductivity at 25 C,0077,"",467,"",us/cm,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),465221,246994
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028530-0162,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M02,AN-04M02,R.TOVE ABTHORPE RD.BR.,2023-01-19T10:16:00,Alky pH 4.5,Alkalinity to pH 4.5 as CaCO3,0162,"",210,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),465221,246994
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028530-0061,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M02,AN-04M02,R.TOVE ABTHORPE RD.BR.,2023-01-19T10:16:00,pH,pH,0061,"",8.3,"",phunits,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),465221,246994
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028530-0119,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M02,AN-04M02,R.TOVE ABTHORPE RD.BR.,2023-01-19T10:16:00,NH3 un-ion,Ammonia un-ionised as N,0119,"",0.0006,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),465221,246994
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028530-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M02,AN-04M02,R.TOVE ABTHORPE RD.BR.,2023-01-19T10:16:00,Nitrate-N,Nitrate as N,0117,"",8.58,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),465221,246994
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028530-0116,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M02,AN-04M02,R.TOVE ABTHORPE RD.BR.,2023-01-19T10:16:00,N Oxidised,"Nitrogen, Total Oxidised as N",0116,"",8.6,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),465221,246994
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028530-9924,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-04M02,AN-04M02,R.TOVE ABTHORPE RD.BR.,2023-01-19T10:16:00,Oxygen Diss,"Oxygen, Dissolved as O2",9924,"",12,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),465221,246994
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028074-0664,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-123658,AN-123658,AIRCRAFT RESEARCH ASSOC. MANTON LANE BED,2023-01-12T15:15:00,Oil & Grs Vs,"Visible oil or grease, significant trace: Present/Not found (1/0)",0664,"",0,"",pres/nf,ANY TRADE EFFLUENT,true,COMPLIANCE AUDIT (PERMIT),504450,251950
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028074-6452,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-123658,AN-123658,AIRCRAFT RESEARCH ASSOC. MANTON LANE BED,2023-01-12T15:15:00,Copper - Cu,Copper,6452,"",7.8,"",ug/l,ANY TRADE EFFLUENT,true,COMPLIANCE AUDIT (PERMIT),504450,251950
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028361-0162,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-14M01,AN-14M01,R.IVEL A507 RD.BR.STOTFOLD,2023-01-18T12:20:00,Alky pH 4.5,Alkalinity to pH 4.5 as CaCO3,0162,"",260,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),522400,236400
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028361-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-14M01,AN-14M01,R.IVEL A507 RD.BR.STOTFOLD,2023-01-18T12:20:00,Ammonia(N),Ammoniacal Nitrogen as N,0111,"",0.04,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),522400,236400
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028361-9924,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-14M01,AN-14M01,R.IVEL A507 RD.BR.STOTFOLD,2023-01-18T12:20:00,Oxygen Diss,"Oxygen, Dissolved as O2",9924,"",11.7,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),522400,236400
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028361-0077,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-14M01,AN-14M01,R.IVEL A507 RD.BR.STOTFOLD,2023-01-18T12:20:00,Cond @ 25C,Conductivity at 25 C,0077,"",789,"",us/cm,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),522400,236400
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028361-0116,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-14M01,AN-14M01,R.IVEL A507 RD.BR.STOTFOLD,2023-01-18T12:20:00,N Oxidised,"Nitrogen, Total Oxidised as N",0116,"",11,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),522400,236400
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028361-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-14M01,AN-14M01,R.IVEL A507 RD.BR.STOTFOLD,2023-01-18T12:20:00,Nitrate-N,Nitrate as N,0117,"",11,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),522400,236400
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028361-0061,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-14M01,AN-14M01,R.IVEL A507 RD.BR.STOTFOLD,2023-01-18T12:20:00,pH,pH,0061,"",7.73,"",phunits,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),522400,236400
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028361-0076,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-14M01,AN-14M01,R.IVEL A507 RD.BR.STOTFOLD,2023-01-18T12:20:00,Temp Water,Temperature of Water,0076,"",5.5,"",cel,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),522400,236400
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028361-0180,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-14M01,AN-14M01,R.IVEL A507 RD.BR.STOTFOLD,2023-01-18T12:20:00,Orthophospht,"Orthophosphate, reactive as P",0180,"",0.019,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),522400,236400
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028361-0118,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-14M01,AN-14M01,R.IVEL A507 RD.BR.STOTFOLD,2023-01-18T12:20:00,Nitrite-N,Nitrite as N,0118,"",0.022,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),522400,236400
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028361-9901,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-14M01,AN-14M01,R.IVEL A507 RD.BR.STOTFOLD,2023-01-18T12:20:00,O Diss %sat,"Oxygen, Dissolved, % Saturation",9901,"",92.9,"",%,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),522400,236400
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028361-0119,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-14M01,AN-14M01,R.IVEL A507 RD.BR.STOTFOLD,2023-01-18T12:20:00,NH3 un-ion,Ammonia un-ionised as N,0119,"",0.00028,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),522400,236400
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028455-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-191488,AN-191488,"ZWETSLOOTS, GREAT NORTH ROAD SANDY",2023-01-18T10:34:00,Ammonia(N),Ammoniacal Nitrogen as N,0111,"",12,"",mg/l,FINAL SEWAGE EFFLUENT,true,COMPLIANCE AUDIT (PERMIT),516060,252030
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028455-0664,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-191488,AN-191488,"ZWETSLOOTS, GREAT NORTH ROAD SANDY",2023-01-18T10:34:00,Oil & Grs Vs,"Visible oil or grease, significant trace: Present/Not found (1/0)",0664,"",0,"",pres/nf,FINAL SEWAGE EFFLUENT,true,COMPLIANCE AUDIT (PERMIT),516060,252030
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028455-0135,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-191488,AN-191488,"ZWETSLOOTS, GREAT NORTH ROAD SANDY",2023-01-18T10:34:00,Sld Sus@105C,"Solids, Suspended at 105 C",0135,"",13,"",mg/l,FINAL SEWAGE EFFLUENT,true,COMPLIANCE AUDIT (PERMIT),516060,252030
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028455-0085,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-191488,AN-191488,"ZWETSLOOTS, GREAT NORTH ROAD SANDY",2023-01-18T10:34:00,BOD ATU,BOD : 5 Day ATU,0085,<,3,"",mg/l,FINAL SEWAGE EFFLUENT,true,COMPLIANCE AUDIT (PERMIT),516060,252030
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028419-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-20M03,AN-20M03,R.OUSE EATON SOCON MILL,2023-01-18T13:43:00,Nitrate-N,Nitrate as N,0117,"",10.9,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),517455,258620
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028419-9901,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-20M03,AN-20M03,R.OUSE EATON SOCON MILL,2023-01-18T13:43:00,O Diss %sat,"Oxygen, Dissolved, % Saturation",9901,"",97.2,"",%,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),517455,258620
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028419-0119,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-20M03,AN-20M03,R.OUSE EATON SOCON MILL,2023-01-18T13:43:00,NH3 un-ion,Ammonia un-ionised as N,0119,"",0.00084,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),517455,258620
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028419-0077,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-20M03,AN-20M03,R.OUSE EATON SOCON MILL,2023-01-18T13:43:00,Cond @ 25C,Conductivity at 25 C,0077,"",692,"",us/cm,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),517455,258620
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028419-9924,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-20M03,AN-20M03,R.OUSE EATON SOCON MILL,2023-01-18T13:43:00,Oxygen Diss,"Oxygen, Dissolved as O2",9924,"",12.9,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),517455,258620
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028419-0076,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-20M03,AN-20M03,R.OUSE EATON SOCON MILL,2023-01-18T13:43:00,Temp Water,Temperature of Water,0076,"",3.6,"",cel,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),517455,258620
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028419-0116,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-20M03,AN-20M03,R.OUSE EATON SOCON MILL,2023-01-18T13:43:00,N Oxidised,"Nitrogen, Total Oxidised as N",0116,"",11,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),517455,258620
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028419-0061,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-20M03,AN-20M03,R.OUSE EATON SOCON MILL,2023-01-18T13:43:00,pH,pH,0061,"",8.11,"",phunits,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),517455,258620
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028419-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-20M03,AN-20M03,R.OUSE EATON SOCON MILL,2023-01-18T13:43:00,Ammonia(N),Ammoniacal Nitrogen as N,0111,"",0.074,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),517455,258620
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028419-0180,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-20M03,AN-20M03,R.OUSE EATON SOCON MILL,2023-01-18T13:43:00,Orthophospht,"Orthophosphate, reactive as P",0180,"",0.15,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),517455,258620
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028419-0118,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-20M03,AN-20M03,R.OUSE EATON SOCON MILL,2023-01-18T13:43:00,Nitrite-N,Nitrite as N,0118,"",0.069,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),517455,258620
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028419-0162,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-20M03,AN-20M03,R.OUSE EATON SOCON MILL,2023-01-18T13:43:00,Alky pH 4.5,Alkalinity to pH 4.5 as CaCO3,0162,"",180,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),517455,258620
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028329-0085,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-231507,AN-231507,RAF MOLESWORTH CAMBRIDGESHIRE STW F/EFF,2023-01-17T13:34:00,BOD ATU,BOD : 5 Day ATU,0085,<,3,"",mg/l,FINAL SEWAGE EFFLUENT,true,COMPLIANCE AUDIT (PERMIT),507720,278190
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028329-0076,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-231507,AN-231507,RAF MOLESWORTH CAMBRIDGESHIRE STW F/EFF,2023-01-17T13:34:00,Temp Water,Temperature of Water,0076,"",7.3,"",cel,FINAL SEWAGE EFFLUENT,true,COMPLIANCE AUDIT (PERMIT),507720,278190
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028329-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-231507,AN-231507,RAF MOLESWORTH CAMBRIDGESHIRE STW F/EFF,2023-01-17T13:34:00,Ammonia(N),Ammoniacal Nitrogen as N,0111,<,0.5,"",mg/l,FINAL SEWAGE EFFLUENT,true,COMPLIANCE AUDIT (PERMIT),507720,278190
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028329-0135,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-231507,AN-231507,RAF MOLESWORTH CAMBRIDGESHIRE STW F/EFF,2023-01-17T13:34:00,Sld Sus@105C,"Solids, Suspended at 105 C",0135,<,3,"",mg/l,FINAL SEWAGE EFFLUENT,true,COMPLIANCE AUDIT (PERMIT),507720,278190
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028329-0664,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-231507,AN-231507,RAF MOLESWORTH CAMBRIDGESHIRE STW F/EFF,2023-01-17T13:34:00,Oil & Grs Vs,"Visible oil or grease, significant trace: Present/Not found (1/0)",0664,"",0,"",pres/nf,FINAL SEWAGE EFFLUENT,true,COMPLIANCE AUDIT (PERMIT),507720,278190
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028476-0061,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-24M13,AN-24M13,ELLINGTON BK.GROVE LANE ELLINGTON,2023-01-19T14:56:00,pH,pH,0061,"",8.21,"",phunits,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),516255,272094
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028476-9924,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-24M13,AN-24M13,ELLINGTON BK.GROVE LANE ELLINGTON,2023-01-19T14:56:00,Oxygen Diss,"Oxygen, Dissolved as O2",9924,"",13,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),516255,272094
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028476-0116,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-24M13,AN-24M13,ELLINGTON BK.GROVE LANE ELLINGTON,2023-01-19T14:56:00,N Oxidised,"Nitrogen, Total Oxidised as N",0116,"",17,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),516255,272094
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028476-0162,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-24M13,AN-24M13,ELLINGTON BK.GROVE LANE ELLINGTON,2023-01-19T14:56:00,Alky pH 4.5,Alkalinity to pH 4.5 as CaCO3,0162,"",220,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),516255,272094
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028476-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-24M13,AN-24M13,ELLINGTON BK.GROVE LANE ELLINGTON,2023-01-19T14:56:00,Ammonia(N),Ammoniacal Nitrogen as N,0111,"",0.056,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),516255,272094
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028476-0118,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-24M13,AN-24M13,ELLINGTON BK.GROVE LANE ELLINGTON,2023-01-19T14:56:00,Nitrite-N,Nitrite as N,0118,"",0.031,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),516255,272094
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028476-0076,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-24M13,AN-24M13,ELLINGTON BK.GROVE LANE ELLINGTON,2023-01-19T14:56:00,Temp Water,Temperature of Water,0076,"",2.6,"",cel,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),516255,272094
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028476-0180,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-24M13,AN-24M13,ELLINGTON BK.GROVE LANE ELLINGTON,2023-01-19T14:56:00,Orthophospht,"Orthophosphate, reactive as P",0180,"",0.12,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),516255,272094
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028476-0119,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-24M13,AN-24M13,ELLINGTON BK.GROVE LANE ELLINGTON,2023-01-19T14:56:00,NH3 un-ion,Ammonia un-ionised as N,0119,"",0.00059,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),516255,272094
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028476-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-24M13,AN-24M13,ELLINGTON BK.GROVE LANE ELLINGTON,2023-01-19T14:56:00,Nitrate-N,Nitrate as N,0117,"",17,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),516255,272094
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028476-9901,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-24M13,AN-24M13,ELLINGTON BK.GROVE LANE ELLINGTON,2023-01-19T14:56:00,O Diss %sat,"Oxygen, Dissolved, % Saturation",9901,"",95.9,"",%,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),516255,272094
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028476-0077,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-24M13,AN-24M13,ELLINGTON BK.GROVE LANE ELLINGTON,2023-01-19T14:56:00,Cond @ 25C,Conductivity at 25 C,0077,"",906,"",us/cm,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),516255,272094
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028300-0135,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-26006,AN-26006,P.S.A. D.O.E. ALCONBURY RAF STW O/F,2023-01-17T14:09:00,Sld Sus@105C,"Solids, Suspended at 105 C",0135,"",3.5,"",mg/l,FINAL SEWAGE EFFLUENT,true,COMPLIANCE AUDIT (PERMIT),521400,274800
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028300-0111,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-26006,AN-26006,P.S.A. D.O.E. ALCONBURY RAF STW O/F,2023-01-17T14:09:00,Ammonia(N),Ammoniacal Nitrogen as N,0111,"",0.59,"",mg/l,FINAL SEWAGE EFFLUENT,true,COMPLIANCE AUDIT (PERMIT),521400,274800
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028300-0085,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-26006,AN-26006,P.S.A. D.O.E. ALCONBURY RAF STW O/F,2023-01-17T14:09:00,BOD ATU,BOD : 5 Day ATU,0085,<,3,"",mg/l,FINAL SEWAGE EFFLUENT,true,COMPLIANCE AUDIT (PERMIT),521400,274800
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028300-0664,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-26006,AN-26006,P.S.A. D.O.E. ALCONBURY RAF STW O/F,2023-01-17T14:09:00,Oil & Grs Vs,"Visible oil or grease, significant trace: Present/Not found (1/0)",0664,"",0,"",pres/nf,FINAL SEWAGE EFFLUENT,true,COMPLIANCE AUDIT (PERMIT),521400,274800
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028376-7668,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-26M62,AN-26M62,DRN 300M D/S WYTON STW,2023-01-18T14:29:00,NO FLOW/SAMP,No flow /No sample,7668,"",0,"",coded,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),527581,273011
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028555-0180,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-27M09,AN-27M09,R.CAM A505 RD.BR. WHITLESFORD,2023-01-19T12:57:00,Orthophospht,"Orthophosphate, reactive as P",0180,"",0.2,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),548700,247250
http://environment.data.gov.uk/water-quality/data/measurement/AN-2028555-9924,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-27M09,AN-27M09,R.CAM A505 RD.BR. WHITLESFORD,2023-01-19T12:57:00,Oxygen Diss,"Oxygen, Dissolved as O2",9924,"",12.2,"",mg/l,RIVER / RUNNING SURFACE WATER,false,ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES),548700,247250
